genesymbols	Plasmablasts	Naive_CD4_T_cells	Cycling_TNK	Classical_monocytes	Platelets	Degranulating_neutrophils	Memory_CD4_T_cells	IL1R2+_immature_neutrophils	B_cells	Mast_cells/eosiniophils	Mature_neutrophils	HSPCs	Naive_CD8_T_cells	NK cells	CD8_T_cells	S100A8-9_hi_neutrophils	Eosinophils	PADI4+_immature_neutrophils	Non-classical_monocytes	MPO+_immature_neutrophils_or_progenitors	Cycling_neutrophil_progenitors	cDCs	pDCs
SRSF5	342.264020550605	1016.19639744316	401.547440141676	376.936517357249	123.185396107061	256.785623071989	773.213737804498	260.131253660521	1049.67139477298	598.061175253266	287.183930462524	639.27324361673	958.617989196817	711.802742943323	623.960782738096	348.534812103537	288.430680414815	307.5746684533	531.693114014356	337.711760297525	231.626512478259	451.47430652608	626.195635276877
SRSF6	71.8502014910072	178.739292939982	78.8067009418334	85.2489219004612	50.7105509677093	1	133.130278748868	19.6392755653565	186.047745083909	88.0424920524973	1	214.558348845793	100.551317588397	109.789500546397	88.8341152094391	1	1	25.6271827755447	74.0657768964373	94.7582104013973	30.3224638146349	99.3590576197322	129.611801686722
SRSF7	151.19388339158	300.140288875102	343.473790317469	193.388039505567	1	1	240.229193422689	1	297.323558877503	64.6962320190869	33.8292794297512	240.742337650706	237.847124672551	214.131146539265	324.334270351504	1	70.7353783498416	44.1326043752451	126.98354137395	202.087913370961	53.8064424166474	199.069292608321	190.414327039129
SRSF8	49.0953961826834	167.637104466647	46.9309273250535	22.4999658074096	96.5158859207419	1	129.864331145674	1	102.700926441205	38.8719650668107	1	135.506654556425	151.457233295845	140.88164307748	174.819295422256	1	1	1	15.7368540174792	1	1	84.2882266818419	52.1180127978197
SRSF9	261.408359549298	97.0689527483311	245.870920586096	180.221677388533	114.231743193196	119.587790825388	139.263748939148	183.352095757206	105.575676563486	185.505863025471	141.745728678509	292.06036464828	122.319979668672	216.515048185166	149.939228626389	98.9825712044033	108.311932624906	227.033224388084	160.731298473947	229.268894100277	161.183510607756	189.080638838507	233.413688323247
SRXN1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
SS18	39.4966012221126	28.1889314223722	59.3555749553228	31.8101289256602	22.1443515705047	1	43.515619543124	1	45.473629130052	47.931805603214	1	72.7595479617443	40.4315786819039	37.1283675100691	19.1928841520509	1	1	1	73.5558328485909	17.710942388569	39.9531126935265	34.5249906296674	21.8452862297975
SS18L1	1	1	15.0420128001457	1	1	1	1	1	1	1	1	22.7754820661577	1	1	1	1	1	1	1	9.13392206622481	1	19.2221899679642	45.0834935921746
SS18L2	50.9646232378544	57.7772088294807	105.872396296459	35.2691694890463	1	1	70.7425186527716	20.097700643538	58.8886105225575	65.2854334916374	1	62.0422747908806	58.9290751627198	56.2517826287942	70.0413896659014	41.3343567779696	1	22.9350307060637	26.4562101607752	65.8581549701326	16.1538416391668	36.4634770850638	27.4988970707205
SSB	171.52139007097	239.95223202654	190.203738300672	172.276812236486	1	1	270.294898087448	33.9611172681876	231.914039704288	100.75598954773	1	285.61543040799	164.859670030183	168.56808076093	178.056406667331	1	115.025397376604	49.7994262541732	167.641086085155	112.655454687573	24.3029474158888	162.597045079347	315.529940982128
SSBP1	248.001450881388	140.629297391349	198.268520144627	104.689037534403	1	1	168.841791493783	35.6880362858816	163.213734472116	98.7061101623243	1	101.082601446308	140.978919341042	152.074415474034	187.74434986071	1	115.606812806315	71.5305124114132	116.696699953304	126.511229935006	56.9979988307337	249.367567332682	213.164525022958
SSBP2	1	23.0211161958059	14.4792820072663	29.2608777967651	140.583638168639	1	1	1	57.8030844494075	1	1	116.606962721816	1	1	1	1	1	1	28.0342102459621	1	31.5865269521821	15.2281272720367	18.9018976011457
SSBP3	72.3679175012562	95.1346726698313	198.533545471693	57.5283705804729	169.474171713784	1	103.370562006527	1	30.2397294229897	31.6235316616104	1	257.15483877478	112.386563641891	377.859700238798	267.295703568997	1	94.5905418111018	1	31.9186351233656	27.4401392112753	33.0862152445103	104.270214287531	15.7883054080833
SSBP3P1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
SSBP4	16.8225740536436	1	93.9398210868284	29.1677099924856	1	1	72.5429875339651	1	28.2371731338663	37.6022003383752	1	51.6687318437501	25.4590729895782	88.6723413365836	72.2788700383116	1	1	1	33.3618260883242	1	1	54.8129893925333	1
SSC4D	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
SSC5D	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
SSH1	18.1599855411962	43.1968781407414	41.5863566454458	40.9753332142753	97.3254034463832	132.592068145961	33.1486086514203	89.2713243006363	31.1741799026891	52.8015874712511	71.6140232570246	56.1222081654989	36.6924084125429	112.137973634284	57.0418377884305	121.25641900688	79.3830142919371	42.679209783407	53.9049948444318	23.7187832031258	70.1117763014699	50.7556681957328	15.7883054080833
SSH2	27.950086601782	95.0605219427989	82.815531298182	193.468517778949	164.550930660201	521.406467924553	53.0851760562497	266.961390650478	120.09657830327	337.810744964066	613.428191931547	84.6733842246083	99.8943825757234	148.789760944015	53.1160569098691	524.9424975048	926.493508172185	84.0655895992809	215.915770095825	71.8433168876049	271.6642008599	132.994192537345	21.7339829981339
SSH3	1	1	1	1	1	1	1	21.9156505540092	1	55.6027290080104	1	10.1881287765584	1	1	19.5184883757472	1	157.87545066916	37.9176983340938	13.2185025898793	30.8031427322301	1	15.2908898100168	1
SSNA1	45.8125712635341	25.2339246560984	40.5048070263762	38.6126375204981	1	1	27.5288212752107	1	40.6857872294827	1	1	34.2883698140447	1	25.5867658222911	37.5292304667803	1	57.2390525737049	23.7986093120603	37.151692941765	35.7106222955968	12.5761653136949	29.7689446153451	21.7339829981339
SSPN	141.82596646484	1	1	1	1	1	1	1	92.092723843143	1	1	16.6592349447838	1	1	1	1	1	1	1	1	1	1	1
SSPO	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
SSR1	564.040047600208	131.130568413099	144.452282542057	250.77526222158	69.2804571765575	93.9193107143811	127.23980787731	101.338972450843	107.242744221194	117.972547774376	118.732841088588	166.064329438133	89.1177382319964	168.088976853907	182.16602953984	105.366927200883	67.9767902462908	136.215968157158	116.767593022429	127.420668308018	168.965297044943	302.826871831742	312.53833145976
