gennames	TS1	TS2	TS3	BS1	BS2	BS3	NS1	NS2	MS1	MS2	MS3	MS4	DS1	DS2	DS3	MK
TRGC1	48.68	40.56	211.98	12.91	25.3	36.34	60.31	97.29	21.25	19.27	23.22	17.28	30.49	14.87	9.32	30.58
ZNF566	36.24	29.25	211.98	23.35	97.29	40.78	59.94	32.54	12.79	18.88	21.18	9.31	25.78	16	47.35	16.73
ARHGAP4	19.29	21.18	97.28	12.63	23.22	211.66	17.3	9.47	32.16	36.05	60.31	15.02	48.19	28.4	41.57	25.84
IGKV4-1	25.38	23.33	48.64	60.31	97.29	210.48	17.47	9.47	19.3	32.09	40.98	12.81	14.96	21.09	35.45	29.01
FOXP1	19.3	36.1	211.99	60.31	97.29	25.32	15.86	16.52	12.83	23.17	48.36	9.36	41.38	29.02	31.72	21.31
AC005363.11	20.78	20.41	59.53	27.31	26.26	205.89	15.41	12.77	40.45	27.03	98.88	35.63	16.83	31.78	9.02	48.07
PARP16	60.14	32.91	211.95	28.79	35.46	96.61	42.39	47.33	12.83	19.41	25.27	9.31	21.42	17.36	22.3	15.12
NEIL1	34.16	36.83	22.34	63.94	49.67	19.46	212.02	92.66	15.09	22.05	25.43	12.79	38.27	17.36	9.02	28.47
PRKAR1B	21.32	48.68	208.48	9.41	28.74	100.53	25.01	32.19	18.73	15.02	17.84	12.7	23.57	37.64	60.15	39.46
AF129408.17	28.06	61.43	9.55	31.52	36.21	27.46	19.38	21.17	12.66	16.98	23.13	15.48	212.01	47.76	95.22	41.46
PRR29-AS1	36.12	48.58	82.05	40.9	21.48	29.03	17.46	72.7	12.86	19.32	31.85	9.47	211.97	25.16	14.16	23.09
EME2	13.54	28.47	49.95	16.48	42.09	96.77	15.31	9.31	32.16	36.55	57.28	25.49	211.98	21.32	19.19	23.18
ADGRV1	21.17	40.62	9.02	19.34	25.67	9.02	17.27	37.79	61.34	47.6	31.99	23.57	211.92	15.05	95.2	28.63
NCKAP1	60.13	40.36	47.92	13.03	17.32	37.59	98.24	28.74	15.09	21.26	32.27	19.07	210.45	25.32	9.02	23.51
TMEM17	19.3	26.32	98.83	12.91	9.42	208.32	14.92	35.79	21.32	23.25	28.29	17.36	60.11	48.77	40.46	32.14
SIDT1	25.36	21.2	48.48	31.92	36.07	96.95	29.15	23.21	9.36	17.35	15.02	12.74	60.3	212.01	41.15	19.22
HINFP	22.96	19.82	98.86	13.23	22.15	208.85	25.15	34.16	17.28	29.1	40.97	9.31	60.3	48.68	32.5	14.62
B3GALNT1	23.54	12.93	96.71	19.29	25.2	59.51	34.63	212	17.41	15.09	21.18	9.37	41.44	33.8	48.32	28.68
PRRG3	17.06	36.72	60.23	31.92	28.75	96.64	9.47	12.87	15.36	21.77	49.2	40.83	210.33	25.12	22.64	19.6
TVP23C	32.37	35.84	96.59	20.43	17.36	211.02	48.66	41.75	15.02	20.12	28.52	12.79	60.32	25.72	9.02	23.08
RP11-30K9.6	17.08	35.98	74.58	29.3	31.88	9.02	23.25	13.28	25.89	21.23	41.8	15.09	73.69	212.01	55.36	19
C8orf33	23.13	20.18	97.28	12.79	32.16	211.7	28.78	25.43	15.05	20.4	40.83	9.31	48.67	36.32	60.25	17.28
RP11-344N10.5	19.35	28.99	21.21	14.96	39.79	205.89	37.77	49.69	25.19	23.6	32.4	17.3	97.66	60.29	9.02	13.06
UPB1	23.04	41.26	28.74	61.05	96.1	9.02	32.81	21.64	19.19	17.56	35.36	15.06	211.95	48.91	9.02	25.1
CERCAM	48.85	41.16	211.93	23.61	18.06	59.46	97.29	21.45	15.13	18.82	36.11	12.83	30.95	29.45	24.43	9.37
C19orf35	21.04	17.42	29.01	12.94	19.48	206.01	25.38	14.92	97.78	36.12	41.34	61.75	32.07	9.31	23.09	48.9
RP11-107F6.3	19.55	48.56	9.02	21.15	28.49	9.02	25.36	60.2	17.39	23.5	36.45	32.51	211.92	41.46	95.18	15.06
FOSL2	23.24	19.12	40.98	12.58	17.73	209.06	28.88	15.02	98.88	48.85	35.74	32.68	25.34	9.52	20.85	60.81
CCDC34	34.1	41.06	212.01	23.2	60.3	97.01	32.94	30.06	10.4	17.33	48.68	12.32	25.25	21.28	19.09	14.53
